year,month,SUM(inr_amount),cumulative_funding
2015,Apr,16404480000,16404480000
2015,Aug,16713089280,33117569280
2015,Dec,15113460240,48231029520
2015,Jul,27980980560,76212010080
2015,Jun,14417615520,90629625600
2015,May,8787610800,99417236400
2015,Nov,12385062000,111802298400
2015,Oct,13133900880,124936199280
2015,Sep,8459841600,133396040880
2016,Apr,10313980000,143710020880
2016,Aug,10725963000,154435983880
2016,Dec,10200281000,164636264880
2016,Feb,8811371000,173447635880
2016,Jan,13726960000,187174595880
2016,Jul,10153649000,197328244880
2016,Jun,13377823000,210706067880
2016,Mar,5665627736,216371695616
2016,May,8699280000,225070975616
2016,Nov,8709799000,233780774616
2016,Oct,12559016000,246339790616
2016,Sep,9404187000,255743977616
2017,Apr,11915865350,267659842966
2017,Aug,173124500,267832967466
2017,Feb,8575150470,276408117936
2017,Jan,6940234555,283348352491
2017,Jul,8669552320,292017904811
2017,Jun,11340242720,303358147531
2017,Mar,11647097730,315005245261
2017,May,8379813770,323385059031
