investorsname,no_of_startups
"Undisclosed Investors",67
"Indian Angel Network",25
"Ratan Tata",22
"Undisclosed investor",22
"Kalaari Capital",15
"Sequoia Capital",11
"Brand Capital",10
"RoundGlass Partners",10
"Accel Partners",9
"SAIF Partners",9
,8
"Group of Angel Investors",8
Undisclosed,7
"Unitus Seed Fund",7
"YouWeCan Ventures",7
"Blume Ventures",6
"Info Edge (India) Ltd",6
"Nexus Venture Partners",6
"Tiger Global",6
"Trifecta Capital",6
"India Educational Investment Fund",5
"KAE capital",5
"The Chennai Angels",5
"Undisclosed HNIs",5
"Venture Catalysts",5
"ah! Ventures",4
"Axilor Ventures",4
"Bessemer Venture Partners",4
"Eight Roads Ventures",4
"Exfinity Venture Partners",4
"Green House Ventures (GHV)",4
"Ideaspring Capital",4
"Idein Ventures",4
"India Quotient",4
"Infuse Ventures",4
"InnoVen Capital",4
"Jungle Ventures",4
"Multiple investors through Ten Minute Million competition",4
Paytm,4
Quarizon,4
Rainmatter,4
"SRI Capital",4
"500 Startups",3
"50K Ventures",3
"Acumen Fund",3
"Anand Chandrasekaran",3
"Centre for Innovation Incubation and Entrepreneurship (CIIE)",3
"Chennai Angels",3
"Deepak Nathani",3
"Edelweiss Private Equity",3
"Facebook FBStart",3
"GHV Accelerator",3
"Gray Matters Capital",3
"IvyCap Ventures",3
"Kalaari Capital Accelerator Program",3
"Lead Angels",3
"Matrix Partners India",3
"Micromax Informatics",3
"Mumbai Angels",3
"Norwest Venture Partners",3
"Rajan Anandan",3
"Sequoia India",3
"Swastika Company Ltd",3
"The Ten Minute Million",3
"TVS Automobile Solutions Ltd",3
"Unilazer Ventures",3
"Vijay Shekhar Sharma",3
"3one4 capital",2
"Aarin Capital Partners",2
Aavishkaar,2
"Accel Partners India",2
"Accel Partners, Helion Venture Partners",2
"Agnus Capital",2
"Anand Mahindra",2
AngelPrime,2
"Anglian Omega Network",2
"Ashish Gupta",2
BEENEXT,2
"Bennett, Coleman and Company Ltd",2
"Blacksoil Capital Pvt. Ltd",2
"Carpediem Capital",2
"Chandigarh Angels Network",2
"CIO Angel Network",2
"Dinesh Agarwal",2
"DSG Consumer Partners",2
"Earlsfield Capital",2
"Eros Labs",2
"EVC Ventures",2
Flipkart,2
"Franchise India",2
"Ganesh Natarajan",2
"GEMS Advisory, Quarizon",2
GirnarSoft,2
"Goldman Sachs",2
"Green House Ventures",2
Grex.in,2
"Group of Investors",2
"GrowX Ventures",2
"Hyderabad Angels",2
"IDG Ventures",2
"Indian Angel Network, Stanford Angels, Entrepreneurs India",2
"Info Edge (India)",2
"IvyCamp Ventures",2
"Kalaari Capital, Norwest Venture Partners",2
"KStart Capital",2
LetsVenture,2
"Lightspeed India",2
"Lightspeed Venture Partners",2
MakeMyTrip,2
"Manipal Global Education Services",2
"Matrix Partners",2
"Mayfield Ventures",2
"MoMagic Technologies",2
"Nandan Nilekani",2
"NB Ventures",2
"Nexus Venture Partners, Blume Ventures",2
"Nimit Panigrahi",2
"Oliphans Capital",2
"Omnivore Partners",2
"Palaash Ventures",2
"Parampara Capital",2
"Paytm (One97 communications)",2
"Prime Venture Partners",2
"Puneet Dalmia",2
"Punit Soni",2
"Rainmaker Ventures",2
"Sachin Bansal, Binny Bansal",2
"SAIF Partners, India Quotient",2
"Sanjay Mehta",2
"SIDBI Venture Capital Ltd",2
"Sixth Sense Ventures",2
"Snow Leopard Technology Ventures",2
"Swan Angel Network",2
"Tiger Global Management",2
"Times Internet Ltd",2
"Tracxn Syndicate",2
"Turning Ideas",2
"undisclosed private investors",2
"Unicorn India Ventures",2
vCommission,2
VentureNursery,2
Xelpmoc,2
"YourNest Angel Fund",2
"Yuvraj Singh",2
