year,MONTH,fund_raised
2015,Apr,16404480000
2015,Aug,16713089280
2015,Dec,15113460240
2015,Jul,27980980560
2015,Jun,14417615520
2015,May,8787610800
2015,Nov,12385062000
2015,Oct,13133900880
2015,Sep,8459841600
2016,Apr,10313980000
2016,Aug,10725963000
2016,Dec,10200281000
2016,Feb,8811371000
2016,Jan,13726960000
2016,Jul,10153649000
2016,Jun,13377823000
2016,Mar,5665627736
2016,May,8699280000
2016,Nov,8709799000
2016,Oct,12559016000
2016,Sep,9404187000
2017,Apr,11915865350
2017,Aug,173124500
2017,Feb,8575150470
2017,Jan,6940234555
2017,Jul,8669552320
2017,Jun,11340242720
2017,Mar,11647097730
2017,May,8379813770
